Entry Time,Exit Time,Direction,Entry Price,SL Price,TP1 Price,TP2 Price,TP3 Price,Exit Price,R:R Planned,R:R Achieved,Confluences,Session,Confluence Score,P&L ($),P&L (%),Running Equity,HTF Bias,Entry Type,Size (oz),TP1 Hit,TP2 Hit,TP3 Hit,SL Hit
2025-10-09 06:00:00,2025-10-09 06:25:00,long,4041.6,4036.1,4052.58,4058.07,4058.07,4036.03,3.0,-1.1,htf_bias_aligned; liquidity_sweep; bos; eq,London,4,-2.37,-0.473,518.95,bullish,EQ,0.39,False,False,False,True
2025-10-09 07:00:00,2025-10-09 07:05:00,long,4041.6,4035.3,4054.19,4060.49,4060.49,4035.3,3.0,-1.08,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; eq,London,6,-2.58,-0.517,516.37,bullish,EQ,0.38,False,False,False,True
2025-10-10 06:50:00,2025-10-10 07:45:00,short,3967.23,3973.91,3953.86,3947.18,3947.18,3967.23,3.0,0.92,htf_bias_aligned; liquidity_sweep; bos; eq,London,4,2.22,0.445,518.6,bearish,EQ,0.36,True,False,False,True
2025-10-10 12:30:00,2025-10-10 13:30:00,short,3989.01,3997.42,3972.19,3963.78,3963.78,3997.48,3.0,-1.07,htf_bias_aligned; liquidity_sweep; bos; eq,NY_AM,4,-2.6,-0.52,516.0,bearish,EQ,0.29,False,False,False,True
2025-10-10 14:00:00,2025-10-10 15:05:00,short,3990.13,4000.45,3969.49,3959.16,3959.16,4000.51,3.0,-1.05,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; bos; fvg,NY_AM,5,-2.61,-0.523,513.38,bearish,FVG,0.24,False,False,False,True
2025-10-13 17:50:00,2025-10-13 19:50:00,short,4109.06,4115.81,4095.56,4088.81,4088.81,4109.13,3.0,0.92,htf_bias_aligned; liquidity_sweep; smt; fvg,NY_PM,4,1.12,0.224,514.5,bearish,FVG,0.18,True,False,False,True
2025-10-17 12:40:00,2025-10-17 13:35:00,long,4304.1,4284.72,4342.86,4362.24,4362.24,4284.68,3.0,-1.03,htf_bias_aligned; liquidity_sweep; smt; fib_79; fvg,NY_AM,5,-1.2,-0.239,513.31,bullish,FVG,0.06,False,False,False,True
2025-10-17 17:40:00,2025-10-20 01:50:00,long,4208.7,4189.2,4247.71,4267.21,4267.21,4267.21,3.0,2.47,htf_bias_aligned; liquidity_sweep; smt; fvg,NY_PM,4,2.9,0.579,516.2,bullish,FVG,0.06,True,True,False,False
2025-10-20 12:35:00,2025-10-20 13:55:00,long,4300.93,4289.38,4324.03,4335.59,4335.59,4300.92,3.0,0.96,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,NY_AM,5,1.22,0.243,517.42,bullish,FVG,0.11,True,False,False,True
2025-10-20 14:10:00,2025-10-20 15:15:00,long,4305.71,4291.57,4334.01,4348.15,4348.15,4348.15,3.0,2.46,silver_bullet; htf_bias_aligned; liquidity_sweep; fib_79; fvg,NY_AM,5,3.14,0.628,520.55,bullish,FVG,0.09,True,True,False,False
2025-10-21 06:40:00,2025-10-21 07:30:00,long,4327.05,4317.93,4345.31,4354.43,4354.43,4317.86,3.0,-1.06,htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; fvg,London,6,-1.36,-0.271,519.2,bullish,FVG,0.14,False,False,False,True
2025-10-21 08:05:00,2025-10-21 08:10:00,long,4339.62,4323.68,4371.51,4387.45,4387.45,4323.62,3.0,-1.04,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,London,5,-1.32,-0.264,517.88,bullish,FVG,0.08,False,False,False,True
2025-10-22 08:15:00,2025-10-22 08:20:00,long,4155.07,4137.21,4190.78,4208.64,4208.64,4137.18,3.0,-1.03,htf_bias_aligned; liquidity_sweep; bos; eq,London,4,-1.29,-0.257,516.59,bullish,EQ,0.07,False,False,False,True
2025-10-23 07:35:00,2025-10-23 09:30:00,short,4112.89,4124.51,4089.66,4078.05,4078.05,4124.55,3.0,-1.05,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,London,6,-1.34,-0.268,515.25,bearish,FVG,0.11,False,False,False,True
