Trade #,Date,Entry Time EST,Exit Time EST,Direction,Session,Entry Type,Entry Price,SL Price,TP1 Price,TP2 Price,Exit Price,Exit Reason,P&L ($),P&L pct,R:R Achieved,Running Equity,Confluence Score,Confluences,HTF Bias,Trade Duration (min),Size (oz),TP1 Hit,TP2 Hit,SL Hit
51,2025-11-19,19:10:00,19:15:00,long,NY_PM,FVG,4083.37,4074.25,4101.62,4110.75,4074.16,SL,-2.72,-0.251,-1.06,1079.56,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,5.0,0.28,False,False,True
52,2025-11-20,15:00:00,16:50:00,short,NY_AM,FVG,4099.52,4113.66,4071.23,4057.08,4057.08,TP2,6.27,0.581,2.46,1085.83,5,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,bearish,110.0,0.18,True,True,False
53,2025-11-21,15:35:00,15:55:00,short,NY_AM,EQ,4061.64,4072.03,4040.85,4030.45,4072.05,SL,-2.73,-0.251,-1.05,1083.1,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; eq,bearish,20.0,0.25,False,False,True
54,2025-11-24,08:15:00,09:05:00,short,London,FVG,4062.08,4068.71,4048.84,4042.22,4068.8,SL,-2.74,-0.253,-1.09,1080.36,5,silver_bullet; htf_bias_aligned; liquidity_sweep; fib_79; fvg,bearish,50.0,0.38,False,False,True
55,2025-11-24,14:50:00,14:55:00,short,NY_AM,EQ,4072.85,4080.66,4057.23,4049.41,4080.67,SL,-2.66,-0.246,-1.07,1077.7,5,htf_bias_aligned; pdh_pdl_sweep; bos; fib_79; eq,bearish,5.0,0.32,False,False,True
56,2025-11-25,07:05:00,07:10:00,long,London,EQ,4148.56,4143.08,4159.52,4165.0,4143.01,SL,-2.72,-0.252,-1.1,1074.98,5,htf_bias_aligned; liquidity_sweep; bos; smt; eq,bullish,5.0,0.45,False,False,True
57,2025-11-25,15:05:00,15:10:00,long,NY_AM,EQ,4147.02,4134.95,4171.18,4183.26,4134.9,SL,-2.65,-0.247,-1.04,1072.33,5,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; eq,bullish,5.0,0.21,False,False,True
58,2025-11-27,07:10:00,07:30:00,long,London,FVG,4150.18,4145.39,4159.78,4164.58,4157.71,TP1+Trail,4.11,0.383,1.68,1076.44,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bullish,20.0,0.51,True,False,True
59,2025-11-27,07:30:00,08:10:00,long,London,FVG,4150.18,4145.62,4159.32,4163.89,4163.89,TP2,5.79,0.538,2.39,1082.23,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bullish,40.0,0.53,True,True,False
60,2025-12-01,14:45:00,14:50:00,long,NY_AM,EQ,4259.31,4247.51,4282.92,4294.72,4247.43,SL,-2.72,-0.251,-1.05,1079.51,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; eq,bullish,5.0,0.22,False,False,True
